name,lat,lon,coord_source,address,suburb_dir,facilities,park_id_dir,division,suburb,hierarchy,function,embellishment,status,lps_zone,parcels,area_sqm
Whetton Park,-27.6961975097656,153.018936157227,directory point,"Whetton Court, Boronia Heights",Boronia Heights,"playground,picnic_area",402.0,7,BORONIA HEIGHTS,Local,Recreation,3,existing,Recreation and Open Space,1.0,3104.0
William Cramer Park,-27.726718,153.211396,polygon centroid,,,,,12,MOUNT WARREN PARK,Local,Recreation,3,existing,Recreation and Open Space,1.0,1715.0
William H Cramer Park,-27.7267265319824,153.211364746094,directory point,"18 Rochester Drive, Mount Warren Park",Mount Warren Park,"playground,picnic_area",403.0,,,,,,,,,
Willmann Park,-27.759578704834,153.183654785156,directory point,"20 Stubbin Street, Belivah",Belivah,picnic_area,404.0,4,BELIVAH,District,Recreation,4,existing,Recreation and Open Space,1.0,79786.0
Willow Park (Beenleigh),-27.7180461883545,153.185012817383,directory point,"14 Buller Court, Beenleigh",Beenleigh,"bbq_electric,playground,basketball,picnic_area",405.0,12,BEENLEIGH,Landscape Amenit,Natural Areas,0,existing,Recreation and Open Space,8.0,37549.0
Willow Park (Beenleigh),-27.718991,153.18589,polygon centroid,,,,,12,BEENLEIGH,Landscape Amenit,Natural Areas,0,existing,Recreation and Open Space,8.0,37549.0
Willow Park (Woodridge),-27.622778,153.107775,polygon centroid,,,,,12,BEENLEIGH,Landscape Amenit,Natural Areas,0,existing,Recreation and Open Space,8.0,37549.0
Willow Park (Woodridge),-27.6232032775879,153.107971191406,directory point,"Willow Street, Woodridge",Woodridge,"bbq_electric,playground,picnic_area",406.0,12,BEENLEIGH,Landscape Amenit,Natural Areas,0,existing,Recreation and Open Space,8.0,37549.0
Willow Rise Park,-27.7180023193359,153.15348815918,directory point,"Parkfront Terrace, Waterford",Waterford,"bbq_electric,playground,picnic_area",407.0,4,WATERFORD,Local,Recreation,2,existing,Low Density Residential,1.0,8401.0
Windaroo Lake Park,-27.739725112915,153.191818237305,directory point,"4 Wilhelm Drive, Windaroo",Windaroo,"dog_off-leash_area,picnic_area",408.0,4,WINDAROO,Ecologically Sig,Natural Areas,3,existing,Recreation and Open Space,4.0,41117.0
Wolffdene South Reserve,-27.79512,153.178257,polygon centroid,,,,,4,WOLFFDENE,Corridor,Recreation,0,existing,Environmental Management and Conservation,1.0,47250.0
Woodlands District Park,-27.716534,153.147091,polygon centroid,,,,,4,WATERFORD,District,Recreation,1,existing,Low Density Residential,1.0,59069.0
Woodlands Park,-27.5898323059082,153.134765625,directory point,"Woodlands Drive, Rochedale South",Rochedale South,"bbq_electric,picnic_area",409.0,1,ROCHEDALE SOUTH,Local,Recreation,3,existing,Recreation and Open Space,1.0,8796.0
Woodridge Adventure Park,-27.6321754455566,153.117248535156,directory point,"Kingston Road, Woodridge",Woodridge,"toilets,basketball,bmx,skate_facilities",410.0,2,WOODRIDGE,District,Recreation,3,existing,Recreation and Open Space,1.0,24921.0
Woollard Park,-27.6662979125977,153.063781738281,directory point,"Melbury Street, Browns Plains",Browns Plains,"playground,picnic_area",411.0,7,BROWNS PLAINS,Local,Recreation,0,existing,Recreation and Open Space,2.0,1788.0
Yore Park,-27.7728462219238,153.089462280273,directory point,"1-11 Bigal Avenue, Stockleigh",Stockleigh,"playground,picnic_area",412.0,9,STOCKLEIGH  ,Local,Recreation,,existing,Low Density Residential,2.0,7467.0
Zorina Park,-27.6604881286621,153.057586669922,directory point,"Zorina Street, Browns Plains",Browns Plains,"playground,picnic_area",413.0,7,BROWNS PLAINS,Local,Recreation,2,existing,Recreation and Open Space,1.0,12308.0
