Narration tail (as posted),Lines,$ ex GST,Register contractor,Retailer account,Directory candidates on this street,Your decision (site name),Notes,Web verification status,Verification source,Google search link
Cafe 982 Underwood Rd Priestdale QLD 412,32,$879.10,Origin Energy (collective account),31206596489,Belmore Park; Graham Hogg Park; Passerine Park; Underwood Park,UNRESOLVED - multiple candidate parks,AMBIGUOUS - public records identify more than one park on the street,AMBIGUOUS - public records identify more than one park on the street,https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Cafe+982+Underwood+Rd+Priestdale+QLD+412%22+Logan+QLD+park
George St Beenleigh QLD 4207,36,$876.29,Origin Energy (collective account),31900070118,Rotary Park (Beenleigh),Rotary Park (Beenleigh),SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22George+St+Beenleigh+QLD+4207%22+Logan+QLD+park
Park Lot 951 Foxx Ct Yarrabilba QLD 4207,42,$873.74,Origin Energy (collective account),31203145168,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Park+Lot+951+Foxx+Ct+Yarrabilba+QLD+4207%22+Logan+QLD+park
Bbq 45A Woodlands Bvd Waterford QLD 4133,37,$860.75,Origin Energy (collective account),31164834815,Boulevard Park; Retreat Park,UNRESOLVED - multiple candidate parks,AMBIGUOUS - public records identify more than one park on the street,AMBIGUOUS - public records identify more than one park on the street,https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Bbq+45A+Woodlands+Bvd+Waterford+QLD+4133%22+Logan+QLD+park
PARK AMENITIES 24 WHARF ST LOGAN VILLAGE,20,$856.99,Origin Energy (collective account),31201868819,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22PARK+AMENITIES+24+WHARF+ST+LOGAN+VILLAGE%22+Logan+QLD+park
Public Toilet Block 143 Meakin Rd Slacks,59,$823.49,Origin Energy (collective account),31207690192,Meakin Park; Nealdon Park,UNRESOLVED - multiple candidate parks,AMBIGUOUS - public records identify more than one park on the street,AMBIGUOUS - public records identify more than one park on the street,https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Public+Toilet+Block+143+Meakin+Rd+Slacks%22+Logan+QLD+park
Lot 900 Chambers Flat Road,4,$809.72,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+900+Chambers+Flat+Road%22+Logan+QLD+park
75 Cinderella Drive,17,$803.40,Journal (no supplier),,Springwood Park,Springwood Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%2275+Cinderella+Drive%22+Logan+QLD+park
Ramu Street,3,$782.64,Journal (no supplier),,Albert River Park,Albert River Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Ramu+Street%22+Logan+QLD+park
Regents Park 21 Bennett Dr Regents Park,18,$778.15,Origin Energy (collective account),QB094431341,Regents Park,Regents Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Regents+Park+21+Bennett+Dr+Regents+Park%22+Logan+QLD+park
8 River Street,4,$773.02,Journal (no supplier),,Village Green,Village Green,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%228+River+Street%22+Logan+QLD+park
35 Elisa Avenue,2,$759.15,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2235+Elisa+Avenue%22+Logan+QLD+park
TOILET BLOCK 71 CLARKS RD LOGANHOLME QLD,20,$753.17,Origin Energy (collective account),31203019750,Tudor Park,Tudor Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22TOILET+BLOCK+71+CLARKS+RD+LOGANHOLME+QLD%22+Logan+QLD+park
Supply of Keys and Locks to Parks Depot,1,$750.00,BrizSouth Locksmiths Pty Ltd,,,Parks Depot,SUPPORTED - explicit named facility in narration,SUPPORTED - explicit named facility in narration,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Supply+of+Keys+and+Locks+to+Parks+Depot%22+Logan+QLD+park
70 Guroman Drive,3,$748.63,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2270+Guroman+Drive%22+Logan+QLD+park
COLVILLE PARK Lot 3000 COLVILLE ST GREEN,35,$741.87,Origin Energy (collective account),31206577068,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22COLVILLE+PARK+Lot+3000+COLVILLE+ST+GREEN%22+Logan+QLD+park
Lot 9001 Pebble Creek Way,4,$739.48,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+9001+Pebble+Creek+Way%22+Logan+QLD+park
149 Rossmore Road,3,$734.71,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22149+Rossmore+Road%22+Logan+QLD+park
2 ALBERT ST WATERFORD QLD 4133,20,$728.38,Origin Energy (collective account),31166740144,Larry Storey Park,Larry Storey Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%222+ALBERT+ST+WATERFORD+QLD+4133%22+Logan+QLD+park
ALBERT ST LOGAN VILLAGE QLD 4207,20,$723.05,Origin Energy (collective account),31151450009,Larry Storey Park,Larry Storey Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22ALBERT+ST+LOGAN+VILLAGE+QLD+4207%22+Logan+QLD+park
0 Chatswood Road,3,$712.64,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%220+Chatswood+Road%22+Logan+QLD+park
45 Webb Road,4,$707.54,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2245+Webb+Road%22+Logan+QLD+park
Lot 940 HIGHLANDS ST YARRABILBA QLD 4207,16,$698.08,Origin Energy (collective account),31203324446,Daybreak Park,Daybreak Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Lot+940+HIGHLANDS+ST+YARRABILBA+QLD+4207%22+Logan+QLD+park
Vansittart Road,3,$662.10,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Vansittart+Road%22+Logan+QLD+park
101 PARADISE RD SLACKS CREEK QLD 4127,26,$648.40,Origin Energy (collective account),31151679257,Bill Carmody Park; Greenwood Lakes; Mabel Park; Paradise Park,UNRESOLVED - multiple candidate parks,AMBIGUOUS - public records identify more than one park on the street,AMBIGUOUS - public records identify more than one park on the street,https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22101+PARADISE+RD+SLACKS+CREEK+QLD+4127%22+Logan+QLD+park
Park Amenities 24 Wharf St Logan Village,22,$635.75,Origin Energy (collective account),31201868819,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Park+Amenities+24+Wharf+St+Logan+Village%22+Logan+QLD+park
3 Pinnacles Street,4,$633.52,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%223+Pinnacles+Street%22+Logan+QLD+park
Amenities Lighting Lot 9003 Everleigh Dr,26,$628.68,Origin Energy (collective account),31208397902,Everleigh Park,Everleigh Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Amenities+Lighting+Lot+9003+Everleigh+Dr%22+Logan+QLD+park
Park Road,4,$617.53,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Park+Road%22+Logan+QLD+park
Jamie Nicolson Ave Edens Landing QLD 420,4,$607.96,Origin Energy Electricity Limited,QB132671321,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Jamie+Nicolson+Ave+Edens+Landing+QLD+420%22+Logan+QLD+park
Bbq 150 Federation Dr Bethania QLD 4205,24,$595.84,Origin Energy (collective account),QB095059464,Argule Park; Federation Drive Reserve; Oppermann Park,UNRESOLVED - multiple candidate parks,AMBIGUOUS - public records identify more than one park on the street,AMBIGUOUS - public records identify more than one park on the street,https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Bbq+150+Federation+Dr+Bethania+QLD+4205%22+Logan+QLD+park
Barton Courts,5,$592.01,"Origin Energy (collective/direct, confirm)",QB13267132,,Charles Barton Park,SUPPORTED - explicit named facility in narration,SUPPORTED - explicit named facility in narration,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Barton+Courts%22+Logan+QLD+park
TOILETS BBQ & STAGE AREA Lot 902 PARKSID,20,$580.66,Origin Energy (collective account),31200578525,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22TOILETS+BBQ+%26+STAGE+AREA+Lot+902+PARKSID%22+Logan+QLD+park
0 Wembley Road,2,$571.35,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%220+Wembley+Road%22+Logan+QLD+park
150 FLESSER RD CHAMBERS FLAT QLD 4133,22,$568.02,Origin Energy (collective account),31170225684,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22150+FLESSER+RD+CHAMBERS+FLAT+QLD+4133%22+Logan+QLD+park
